10:40-41	tp7i				Qu'est-ce que Pierre a annoncé qu'il était arrivé à Jésus après sa mort, et comment l'a-t-il su ?	Pierre a annoncé que Dieu avait ressuscité Jésus le troisième jour, et que Pierre avait mangé avec Jésus après sa résurrection.

10:42	cn1c				Qu'est-ce que Pierre a dit que Jésus leur avait ordonné de prêcher au peuple ?	Jésus leur avait ordonné de prêcher que Jésus avait été choisi par Dieu pour être le Juge des vivants et des morts.

10:43	l4id				Qu'est-ce que Pierre a dit que chaque personne qui croit en Jésus recevra ?	Pierre a dit que tous ceux qui croient en Jésus recevront le pardon des péchés.

10:44	jjd7				Qu'est-il arrivé aux personnes qui écoutaient Pierre pendant que celui-ci parlait encore ?	Le Saint-Esprit est tombé sur tous ceux qui écoutaient Pierre.

10:45	lxzs				Pourquoi les croyants qui appartenaient au groupe de la circoncision étaient-ils étonnés ?	Les croyants qui appartenaient au groupe des circoncis étaient stupéfaits parce que le don du Saint-Esprit était également répandu sur les païens.

10:46	kpj7				Que faisaient les gens qui démontraient que le Saint-Esprit était tombé sur eux ?	Les gens parlaient en d'autres langues et louaient Dieu, ce qui démontrait que le Saint-Esprit était tombé sur eux.

10:48	gwnt				Après avoir vu que les gens avaient reçu le Saint-Esprit, qu'est-ce que Pierre a ordonné de faire avec eux ?	Pierre a ordonné que les gens soient baptisés au nom de Jésus-Christ.

11:1	h8gh				Quelles nouvelles les apôtres et les frères de Judée ont-ils entendues ?	Les apôtres et les frères de Judée ont appris que les païens avaient eux aussi reçu la parole de Dieu.

11:2-3	b92d				Quelles critiques les membres du groupe des circoncis de Jérusalem ont-ils formulées à l'encontre de Pierre ?	Les membres du groupe des circoncis ont critiqué Pierre pour avoir mangé avec les païens.

11:15	zxqp				Quelle preuve Pierre a-t-il présentée pour démontrer que Dieu avait accepté les Gentils ?	Pierre a présenté le fait que le Saint-Esprit était venu sur les païens.

11:18	r9j4				Quelle a été la conclusion de ceux du groupe des circoncis lorsqu'ils ont entendu l'explication de Pierre ?	Ils ont loué Dieu et ont conclu que Dieu avait donné la repentance pour la vie aux Gentils aussi.

11:19	s9vw				Qu'ont fait la plupart des croyants qui ont été dispersés après la mort d'Étienne ?	La plupart des croyants dispersés n'ont transmis le message sur Jésus qu'aux Juifs.

11:20-21	idod				Que s'est-il passé lorsque certains des croyants dispersés ont prêché le Seigneur Jésus à des Grecs ?	Lorsqu'ils ont prêché le Seigneur Jésus aux Grecs, un grand nombre d'entre eux ont cru.

11:22-23	nrp0				Qu'a dit Barnabas de Jérusalem aux Grecs croyants d'Antioche ?	Barnabas a encouragé les Grecs à rester avec le Seigneur de tout leur cœur.

11:26	sz44				Qui a passé une année entière dans l'église d'Antioche ?	Barnabas et Saul ont passé une année entière dans l'église d'Antioche.

11:26	b69w				Quel nom les disciples ont-ils reçu pour la première fois à Antioche ?	Les disciples ont été appelés chrétiens d'abord à Antioche.

11:28	bt8b				Qu'est-ce que le prophète Agabus a prédit ?	Agabus a prédit qu'une grande famine allait se produire dans le monde entier.

11:29-30	tupm				Comment les disciples ont-ils répondu à la prophétie d'Agabus ?	Les disciples ont envoyé de l'aide aux frères de Judée par l'intermédiaire de Barnabas et de Saul.

12:2	mymt				Qu'a fait le roi Hérode à Jacques, le frère de Jean ?	Le roi Hérode a tué par l'épée Jacques, le frère de Jean.

12:3-4	p1bo				Qu'est-ce que le roi Hérode a fait à Pierre ?	Hérode arrêta et mit Pierre en prison, avec l'intention de le présenter au peuple après la Pâque.

12:5	d6lh				Que faisait l'assemblée pour Pierre ?	L'assemblée priait ardemment pour Pierre.

12:9-10	et0f				Comment Pierre a-t-il pu passer le premier et le deuxième garde et sortir de la porte de la prison ?	Pierre a suivi un ange pour passer les gardes, puis la porte s'est ouverte toute seule.

12:13-14	i4ic				Lorsque Pierre est arrivé à la maison où les croyants priaient, qui a ouvert la porte et qu'a-t-elle fait ?	Une servante, Rhoda, a répondu à la porte et a signalé que Pierre se tenait à la porte, mais elle n'a pas ouvert la porte.

12:15	jmhh				Comment les croyants ont-ils d'abord réagi à son rapport ?	Au début, ils pensaient que Rhoda était folle.

12:17	uo2p				Après avoir raconté aux croyants ce qui lui était arrivé, qu'est-ce que Pierre leur a dit de faire ?	Pierre leur dit de rapporter ces choses à Jacques et aux frères.

12:19	rvwp				Qu'est-il arrivé aux hommes qui avaient gardé Pierre ?	Hérode a interrogé les gardes et les a fait mettre à mort.

12:22	ole4				Qu'est-ce que les gens ont crié pendant qu'Hérode faisait son discours ?	Le peuple s'est écrié : "C'est la voix d'un dieu, pas d'un homme" !

12:23	p08f				Qu'est-il arrivé à Hérode après son discours, et pourquoi ?	Parce qu'Hérode ne rendait pas gloire à Dieu, un ange le frappa et il fut mangé par les vers et mourut.

12:24	ljyo				Que se passait-il avec la parole de Dieu pendant cette période ?	La parole de Dieu a grandi et s'est multipliée pendant cette période.

12:25	qacs				Qui Barnabas et Saul ont-ils emmené avec eux ?	Barnabas et Saul ont pris Jean Marc avec eux.

13:2	btkh				Que faisait l'assemblée d'Antioche lorsque le Saint-Esprit lui a parlé ?	L'assemblée d'Antioche était en train d'adorer le Seigneur et de jeûner lorsque le Saint-Esprit leur a parlé.

13:2	hq89				Qu'est-ce que le Saint-Esprit leur a dit de faire ?	Le Saint-Esprit leur a dit de mettre à part Barnabas et Saul pour accomplir le travail auquel l'Esprit les appelait.

13:3	anwk				Qu'a fait l'assemblée après avoir entendu le Saint-Esprit ?	L'assemblée a jeûné, prié, imposé les mains à Barnabas et Saul, et les a envoyés.

13:5	seta				Lorsque Barnabas et Saul se sont rendus à Chypre, qui était aussi avec eux ?	A Chypre, Jean Marc était avec eux comme assistant.

13:6-7	odpk				Qui était Bar-Jesus ?	Bar-Jesus était un faux prophète juif qui s'associait au proconsul.

13:7	xuu2				Pourquoi le proconsul a-t-il convoqué Barnabas et Saul ?	Le proconsul a convoqué Barnabas et Saul car il voulait entendre la parole de Dieu.

13:9	v0iw				Quel était un autre nom sous lequel Saul était connu ?	Saul était aussi connu sous le nom de Paul.

13:11	b9pb				Qu'est-ce que Paul a dit qu'il arriverait à Bar-Jesus parce qu'il a essayé de retourner le proconsul contre la foi ?	Paul a dit à Bar-Jesus qu'il serait aveugle pendant un certain temps.

13:12	ml82				Comment a réagi le proconsul quand il a vu ce qui est arrivé à Bar-Jesus ?	Le proconsul a cru.

13:13	jtig				Qu'a fait Jean Marc lorsque Paul et ses amis ont mis le cap sur Perge ?	Jean Marc quitte Paul et ses amis et retourne à Jérusalem.

13:15	z2az				Où, à Antioche de Pisidie, Paul a-t-il été invité à parler ?	À Antioche de Pisidie, on demande à Paul de prendre la parole dans la synagogue juive.

13:17	w4tx				Dans son discours, qui, selon Paul, Dieu a-t-il choisi dans le passé ?	Dans son discours, Paul a dit que Dieu a choisi Israël.

13:23	sghs				De qui Dieu a-t-il fait venir un sauveur pour Israël ?	Par le roi David, Dieu a apporté à Israël un Sauveur.

13:24-25	g0vv				Qui, selon Paul, a préparé le chemin pour la venue du Sauveur ?	Paul a dit que Jean le Baptiste avait préparé le chemin pour la venue du Sauveur.

13:27	vmdy				Comment le peuple et les dirigeants de Jérusalem ont-ils accompli les messages des prophètes ?	Le peuple et les dirigeants de Jérusalem ont accompli les messages des prophètes en condamnant Jésus à mort.

13:31	k5gn				Qui étaient maintenant les témoins de Jésus auprès du peuple ?	Les personnes qui ont vu Jésus après sa résurrection des morts sont désormais ses témoins.

13:33	vjik				Comment Dieu a-t-il montré qu'il avait tenu ses promesses faites aux Juifs ?	Dieu a montré qu'il avait tenu ses promesses aux Juifs en ressuscitant Jésus d'entre les morts.

13:35	wqos				Qu'est-ce que Dieu a promis au Saint dans l'un des psaumes ?	Dieu a promis que le Saint ne verrait pas la décrépitude.

13:38	loxj				Qu'est-ce que Paul a proclamé pour tous ceux qui croient en Jésus ?	Paul a proclamé le pardon des péchés pour tous ceux qui croient en Jésus.

13:40-41	t2p4				Quel avertissement Paul a-t-il également donné à ses auditeurs ?	Paul a averti ses auditeurs de ne pas être comme ceux dont parlent les prophètes, qui entendent l'annonce de l'œuvre de Dieu, mais ne la croient pas.

13:44	rfqj				À Antioche, qui est venu écouter la parole du Seigneur le sabbat suivant ?	Le sabbat suivant, presque toute la ville est venue écouter la parole du Seigneur.

13:45	zikw				Comment les Juifs ont-ils réagi en voyant les foules ?	Les Juifs étaient remplis de jalousie et parlaient contre le message de Paul, l'insultant.

13:46	pzhf				Selon Paul, que faisaient les Juifs de la parole de Dieu qui leur était adressée ?	Paul a dit que les Juifs repoussaient la parole de Dieu qui leur avait été adressée.

13:48	n7yw				Quelle a été la réaction des païens lorsqu'ils ont appris que Paul se tournait vers eux ?	Les païens se sont réjouis et ont loué la parole du Seigneur.

13:48	mg1i				Combien de païens ont cru ?	Tous ceux qui étaient destinés à la vie éternelle ont cru.

13:50	fskb				Que font alors les Juifs à Paul et Barnabé ?	Les Juifs ont déclenché une persécution contre Paul et Barnabas et les ont chassés de la ville.

13:51	ov8v				Qu'ont fait Paul et Barnabas avant de se rendre dans la ville d'Iconium ?	Paul et Barnabas ont secoué la poussière de leurs pieds contre ceux de la ville d'Antioche qui les avaient jetés dehors.

14:1-2	zyc3				Qu'ont fait les Juifs incrédules d'Iconium après qu'une multitude ait cru à la prédication de Paul et Barnabas ?	Les Juifs incrédules ont excité l'esprit des païens et les ont rendus amers contre les frères.

14:3	ye2r				Comment Dieu a-t-il donné des preuves du message de sa grâce ?	Dieu a donné la preuve du message de sa grâce en permettant que des signes et des prodiges soient accomplis par les mains de Paul et Barnabas.

14:5-7	oeth				Pourquoi Paul et Barnabas ont-ils quitté Iconium ?	Certains païens et Juifs ont tenté de persuader leurs chefs de maltraiter et de lapider Paul et Barnabas.

14:8-10	ryts				Qu'a fait Paul qui a provoqué un tollé à Lystre ?	Paul a guéri un homme qui était infirme de naissance.

14:11-13	mckv				Que voulaient faire les habitants de Lystre pour Paul et Barnabas ?	Le peuple voulait offrir des sacrifices à Paul et Barnabas par l'intermédiaire du prêtre de Zeus.

14:14-15	apoy				Comment Barnabas et Paul ont-ils répondu à ce que les gens voulaient faire pour eux ?	Barnabas et Paul déchirèrent leurs vêtements, allèrent dans la foule et crièrent en disant que le peuple devait se détourner de ces choses inutiles pour se tourner vers un Dieu vivant.

14:17	df11				Comment Dieu ne s'était-il pas laissé sans témoin dans le passé ?	Dieu avait donné aux nations la pluie et des saisons fécondes, remplissant leurs cœurs de nourriture et de joie.

14:18	x86f				Que voulaient faire les habitants de Lystre pour Paul et Barnabas ?	Le peuple voulait offrir des sacrifices à Paul et Barnabas par l'intermédiaire du prêtre de Zeus.

14:19	o9dx				Qu'est-ce que les foules à Lystre ont fait à Paul par la suite ?	Les foules de Lystre ont ensuite lapidé Paul et l'ont traîné hors de la ville.

14:20	hidi				Qu'a fait Paul pendant que les disciples se tenaient autour de lui ?	Paul s'est levé et est entré dans la ville.

14:22	ctwm				Par quoi Paul a-t-il dit que les disciples doivent entrer dans le royaume de Dieu ?	C'est à travers de nombreuses souffrances que Paul a dit que les disciples doivent entrer dans le royaume de Dieu.

14:23	n6tc				Qu'ont fait Paul et Barnabas dans chaque assemblée de croyants avant leur départ ?	Dans chaque assemblée, Paul et Barnabas ont nommé des anciens, ont prié en jeûnant et ont confié les croyants au Seigneur.

14:27	r8jh				Qu'ont fait Paul et Barnabas à leur retour à Antioche ?	Lorsqu'ils retournèrent à Antioche, ils racontèrent tout ce que Dieu avait fait avec eux, et comment il avait ouvert une porte de la foi pour les païens.

15:1	fv4k				Qu'est-ce que certains hommes de Judée sont venus enseigner aux frères ?	Certains hommes de Judée enseignaient que si les frères n'étaient pas circoncis, ils ne pouvaient pas être sauvés.

15:2	oo97				Comment les frères ont-ils décidé que cette question devait être résolue ?	Les frères ont décidé que Paul, Barnabas et quelques autres devaient se rendre à Jérusalem auprès des apôtres et des anciens.

15:3	kc4n				En passant par la Phénicie et la Samarie, quelles nouvelles Paul et ses compagnons annoncent-ils ?	Paul et ses compagnons ont annoncé la conversion des païens.

15:5	zlsp				Quel groupe parmi les croyants pensait que les païens devaient être circoncis et devaient respecter la loi de Moïse ?	Le groupe des Pharisiens croyait que les Gentils devaient être circoncis et devaient respecter la loi de Moïse.

15:8-9	jw1h				Qu'est-ce que Pierre a dit que Dieu avait donné aux Gentils et fait pour eux ?	Pierre dit que Dieu a donné aux païens le Saint-Esprit et a purifié leur cœur par la foi.

15:11	xnwc				Comment Pierre a-t-il dit que les Juifs et les Gentils sont sauvés ?	Pierre a dit que tant les Juifs que les Gentils sont sauvés par la grâce du Seigneur Jésus.

15:12	sovh				Qu'est-ce que Paul et Barnabas ont rapporté à l'assemblée ?	Paul et Barnabas ont rapporté les signes et les prodiges que Dieu avait accomplis parmi les païens.

15:16-17	m6le				Qu'est-ce que la prophétie que Jacques a citée dit que Dieu reconstruirait, et qui cela inclurait-il ?	La prophétie disait que Dieu allait reconstruire la tente de David qui avait été détruite, et qu'elle inclurait les Gentils.

15:20	zrn7				Quels commandements Jacques a-t-il suggéré de donner aux Gentils convertis ?	Jacques a suggéré que l'on commande aux païens convertis de se garder des idoles, de la fornication, de ce qui est étranglé et du sang.

15:28	xahp				Dans la lettre écrite aux Gentils, qui est dit être d'accord avec la conclusion de ne donner aux Gentils que quelques commandements nécessaires ?	Les rédacteurs de la lettre et l'Esprit Saint sont dits d'accord avec les conclusions.

15:31	hvb5				Quelle a été la réaction des païens lorsqu'ils ont entendu la lettre de Jérusalem ?	Les païens se sont réjouis à cause des encouragements contenus dans la lettre.

15:35	iwie				Que faisaient Paul et Barnabas pendant leur séjour à Antioche ?	Paul et Barnabas ont enseigné et prêché la parole du Seigneur.

15:36	eigw				Qu'est-ce que Paul a dit à Barnabas qu'il voulait faire ?	Paul a dit à Barnabas qu'il voulait retourner et visiter les frères dans chaque ville où ils avaient annoncé la parole du Seigneur.

15:39	kme5				Pourquoi Paul et Barnabas se sont-ils séparés et ont-ils pris des directions différentes ?	Il y a eu un vif désaccord entre eux, de sorte qu'ils se sont séparés l'un de l'autre.

16:3	hg99				Qu'est-ce que Paul a fait avec Timothée avant qu'ils ne voyagent ensemble, et pourquoi ?	Paul a circoncis Timothée parce que les Juifs de ces régions savaient que le père de Timothée était grec.

16:4	kxf5				Quelles instructions Paul a-t-il données aux églises sur leur chemin ?	Paul a livré les instructions qui avaient été écrites par les apôtres et les anciens de Jérusalem.

16:9	i6p4				Comment Paul a-t-il su que Dieu l'appelait à prêcher l'Évangile en Macédoine ?	Paul a eu une vision d'un homme de Macédoine l'appelant à venir les aider.

16:13	cypx				Le jour du sabbat, pourquoi Paul s'est-il rendu au fleuve à la porte de Philippes ?	Paul pensait qu'il y aurait là un lieu de prière.

16:14	gj4v				Qu'est-ce que le Seigneur a fait pour Lydia pendant que Paul parlait ?	Le Seigneur a ouvert le cœur de Lydie pour qu'elle prête attention aux choses qui étaient dites par Paul.

16:15	zmfd				Qui a été baptisé après que Paul ait parlé au bord du fleuve ?	Lydie et sa famille ont été baptisées après que Paul ait parlé.

16:16	kbq9				Comment la jeune femme avec un esprit a t-elle gagné de l'argent pour ses maîtres ?	Elle gagnait de l'argent pour ses maîtres en faisant de la voyance.

16:17-18	g7v5				Qu'a fait Paul après que la jeune femme l'ait suivi pendant plusieurs jours ?	Paul se retourne et ordonne à l'esprit, au nom de Jésus-Christ, de sortir d'elle.

16:21	xboe				Quelle accusation les maîtres de la jeune femme ont-ils portée contre Paul et Silas ?	Ils ont accusé Paul et Silas d'enseigner des choses qu'il n'est pas permis aux Romains de recevoir ou d'observer.

16:22-24	czhm				Quelle punition Paul et Silas ont-ils reçue des magistrats ?	Ils ont été battus à coups de bâton, jetés en prison et mis au pilori.

16:25	iq2o				Que faisaient Paul et Silas vers minuit dans la prison ?	Ils priaient et chantaient des hymnes à Dieu.

16:26	fxfk				Que s'est-il passé pour que le geôlier se prépare à se tuer ?	Il y eut un tremblement de terre, toutes les portes des prisons s'ouvrirent et les chaînes de chacun furent détachées.

16:30	lm1s				Quelle question le geôlier a-t-il posée à Paul et Silas ?	Le geôlier a demandé à Paul et Silas : "Messieurs, que dois-je faire pour être sauvé" ?

16:31	s7vq				Quelle réponse Paul et Silas ont-ils donnée au geôlier ?	Paul et Silas répondirent : "Croyez au Seigneur Jésus, et vous serez sauvés, vous et votre maison".

16:33	ykrm				Qui a été baptisé cette nuit-là ?	Le geôlier et toute sa famille ont été baptisés cette nuit-là.

16:37-38	m1vz				Qu'est-ce qui a causé la peur des magistrats après qu'ils aient envoyé un message pour laisser partir Paul et Silas ?	Les magistrats ont eu peur parce qu'ils ont réalisé qu'ils avaient battu publiquement deux citoyens romains non condamnés.

16:40	y7xo				Après que les magistrats leur aient demandé de quitter la ville, qu'ont fait Paul et Silas ?	Paul et Silas se rendirent dans la maison de Lydie, encouragèrent les frères, puis partirent de Philippes.

17:1-2	w69x				En arrivant à Thessalonique, où Paul s'est-il rendu en premier pour parler de Jésus à partir des Écritures ?	Paul s'est d'abord rendu dans la synagogue des Juifs pour parler de Jésus à partir des Écritures.

17:3	tnbz				Qu'est-ce que Paul a montré comme étant nécessaire à partir des Écritures ?	Paul a montré qu'il était nécessaire que le Christ souffre et ressuscite d'entre les morts.

17:7	xi6i				Quelle accusation a été portée contre Paul et Silas aux fonctionnaires de la ville ?	Paul et Silas ont été accusés d'agir contre les décrets de César, en disant qu'il y avait un autre roi - Jésus.

17:10	tci9				Où sont allés Paul et Silas lorsqu'ils sont arrivés à Bérée ?	Paul et Silas sont entrés dans la synagogue des Juifs.

17:11	t2et				Qu'ont fait les Béréens lorsqu'ils ont entendu le message de Paul ?	Les Béréens ont reçu la parole et ont examiné les Écritures pour voir si ce que Paul disait était vrai.

17:13-15	w414				Pourquoi Paul a-t-il dû quitter Bérée, et où est-il allé ?	Paul a dû quitter Bérée parce que les juifs de Thessalonique soulevaient les foules à Bérée, alors Paul est allé à Athènes.

17:17	f8ou				Où Paul est-il allé lorsqu'il est arrivé à Athènes ?	Paul s'est rendu dans la synagogue juive et sur la place du marché pour raisonner à partir des Écritures.

17:19-20	xnc3				Où Paul a-t-il été amené à expliquer davantage son enseignement ?	Paul a été amené à l'Aréopage pour expliquer davantage son enseignement.

17:23	gjfe				Quel autel d'Athènes Paul a-t-il trouvé, qu'il a voulu expliquer aux gens ?	Paul a trouvé un autel avec l'inscription "TO AN UNKNOWN DOD" (à un Dieu inconnu), qu'il a voulu expliquer aux gens.

17:25	iaid				Qu'est-ce que Paul a dit que le Dieu qui a tout fait donne aux gens ?	Paul a dit que le Dieu qui a tout fait donne aux gens la vie, le souffle et tout le reste.

17:26	o12f				De quoi Dieu a-t-il fait chaque nation de gens ?	D'un seul homme, Dieu a fait toutes les nations.

17:27	vvux				A quelle distance Paul a-t-il dit que Dieu était de n'importe qui ?	Paul a dit que Dieu n'était loin de personne.

17:29	prjx				Comment Paul a-t-il dit que nous ne devions pas penser à Dieu ?	Paul dit que nous ne devons pas considérer Dieu comme de l'or, de l'argent ou des pierres, sculptés par l'homme.

17:30	gslr				Qu'est-ce que Dieu appelle maintenant tous les hommes du monde entier à faire ?	Dieu appelle maintenant tous les hommes du monde entier à se repentir.

17:31	ord6				Pour quoi Dieu a-t-il fixé un jour précis ?	Dieu a fixé un jour précis où Jésus jugera le monde en toute justice.

17:31	x0ou				Quelle preuve Dieu a-t-il donnée que Jésus a été choisi comme juge du monde ?	Dieu a prouvé que Jésus a été choisi comme juge du monde en le ressuscitant des morts.

17:32	pqyi				Qu'ont fait certains lorsqu'ils ont entendu Paul parler de la résurrection des morts ?	Certains se sont moqués de Paul lorsqu'ils l'ont entendu parler de la résurrection des morts.

17:34	txwz				Quelqu'un a-t-il cru ce que Paul avait dit ?	Oui, certains hommes ont cru Paul, et d'autres avec eux.

18:3	odpl				Quel travail Paul faisait-il pour subvenir à ses besoins ?	Paul a travaillé comme faiseur de tentes pour subvenir à ses besoins.

18:5	g7ct				De quoi Paul a-t-il témoigné aux Juifs de Corinthe ?	Paul a témoigné aux Juifs que Jésus était le Christ.

18:6	l0vm				Lorsque les Juifs ont rejeté Paul, qu'a-t-il fait ?	Paul a dit aux Juifs que leur sang était sur leur propre tête, puis il est allé vers les Gentils.

18:9-10	durd				Quel encouragement Paul a-t-il reçu du Seigneur à Corinthe ?	Le Seigneur dit à Paul de continuer à parler, car personne ne lui fera de mal là-bas.

18:12-13	ev77				Quelle accusation les Juifs ont-ils portée au gouverneur contre Paul ?	Les Juifs ont accusé Paul d'enseigner aux gens un culte contraire à la loi.

18:15	nkla				Comment le gouverneur a-t-il répondu aux accusations des Juifs contre Paul ?	Le gouverneur a déclaré qu'il ne souhaitait pas être juge dans les affaires impliquant la loi juive.

18:18-19	yrak				Quels mari et femme ont voyagé avec Paul à Ephèse ?	Aquila et Priscilla ont voyagé avec Paul à Ephèse.

18:22	jtai				Quels sont les deux premiers endroits où Paul s'est rendu après avoir quitté Ephèse ?	Après avoir quitté Éphèse, Paul s'est rendu à Jérusalem, puis à Antioche.

18:25	g6ho				Quel enseignement Apollos a-t-il compris avec précision, et dans quel enseignement avait-il besoin de plus d'instruction ?	Apollos comprenait bien les choses concernant Jésus, mais il ne connaissait que le baptême de Jean.

18:26	eon0				Qu'ont fait Priscille et Aquila pour Apollos ?	Priscille et Aquila se sont liés d'amitié avec Apollos et lui ont expliqué plus précisément la voie de Dieu.

18:28	rljo				Qu'est-ce qu'Apollos a pu faire avec son discours éloquent et sa connaissance des Écritures ?	Apollos a pu accabler publiquement les Juifs, en montrant que Jésus était le Christ.

19:2	hdb3				Qu'est-ce que les disciples que Paul a rencontrés à Ephèse n'avaient pas entendu lorsqu'ils ont cru ?	Les disciples n'avaient pas entendu parler du Saint-Esprit.

19:4	rigp				Le baptême de Jean était un baptême de quoi ?	Le baptême de Jean était un baptême de repentance.

19:4	lkcx				En qui Jean avait-il dit au peuple de croire ?	Jean avait dit au peuple de croire en celui qui viendrait après lui.

19:5	iaq9				En quel nom Paul a-t-il ensuite baptisé les disciples d'Ephèse ?	Paul les a baptisés au nom du Seigneur Jésus.

19:6	bf8t				Qu'est-il arrivé aux hommes après qu'ils aient été baptisés et que Paul leur ait imposé les mains ?	Le Saint-Esprit est venu sur eux et ils ont parlé dans d'autres langues et ont prophétisé.

19:9	bdpf				Qu'a fait Paul lorsque certains Juifs d'Ephèse ont commencé à dire du mal de la voie du Christ ?	Paul se retira avec les croyants et commença à parler dans la salle de conférence de Tyrannus.

19:12	b1be				Quels miracles spéciaux Dieu a-t-il fait par les mains de Paul ?	Lorsque les mouchoirs et les tabliers ont été pris à Paul, ils ont guéri les malades et chassé les mauvais esprits.

19:16	zvnx				Que s'est-il passé lorsque sept exorcistes juifs ont essayé de chasser un mauvais esprit au nom de Jésus ?	L'esprit maléfique a battu les exorcistes et ils ont fui, nus et blessés.

19:19	xtb7				À Éphèse, que faisaient les personnes qui pratiquaient les arts magiques ?	Beaucoup de ceux qui pratiquaient les arts magiques à Ephèse brûlaient leurs livres à la vue de tous.

19:21	gy2j				Où Paul a-t-il dit qu'il irait après être allé à Jérusalem ?	Paul a dit qu'il irait à Rome après être allé à Jérusalem.

19:26	efin				Quelles préoccupations l'orfèvre Démétrius a-t-il exprimées aux autres ouvriers ?	Démétrius s'inquiétait du fait que Paul enseignait aux gens qu'il n'y a pas de dieux faits de main d'homme et que la déesse Diane pouvait être considérée comme sans valeur.

19:28-29	hzui				Comment le peuple a-t-il réagi aux préoccupations de Démétrius ?	Le peuple se mit en colère et cria en disant que Diane était grande, remplissant toute la ville de confusion.

19:30-31	kln7				Pourquoi Paul ne s'est-il pas adressé à la foule, alors qu'il le voulait ?	Les disciples et certains responsables locaux n'ont pas permis à Paul de parler à la foule.

19:38	ocn0				Qu'est-ce que le secrétaire de la ville a dit aux gens de faire au lieu de se révolter ?	Le secrétaire de la ville a dit aux gens de porter leurs accusations devant les tribunaux.

19:40	tpx1				Dans quel danger le secrétaire de la ville a-t-il dit que les gens étaient ?	Le secrétaire de mairie a dit que les gens risquaient d'être accusés de désordre, et qu'il n'y avait pas lieu de s'expliquer.

20:3	rl1q				Qu'est-ce qui a poussé Paul à changer ses plans et à revenir par la Macédoine au lieu de naviguer vers la Syrie ?	Paul a changé ses plans parce que les Juifs avaient formé un complot contre lui alors qu'il était sur le point de s'embarquer pour la Syrie.

20:7	kqua				Quel jour de la semaine Paul et les croyants se réunissaient-ils pour rompre le pain ?	Le premier jour de la semaine, Paul et les croyants se sont réunis pour rompre le pain.

20:9-10	jxkk				Qu'est-il arrivé au jeune homme qui est tombé par la fenêtre pendant que Paul parlait ?	Le jeune homme est tombé du troisième étage et a été ramassé mort, mais Paul s'est étendu sur lui et il est revenu à la vie.

20:16	afhc				Pourquoi Paul se hâtait-il vers Jérusalem ?	Paul se hâte vers Jérusalem pour être là le jour de la Pentecôte.

20:18	yygx				À propos de quoi Paul a-t-il dit qu'il avait mis en garde les Juifs et les Grecs depuis qu'il avait mis le pied en Asie ?	Paul a dit qu'il mettait en garde les Juifs et les Grecs contre la repentance envers Dieu et la foi dans le Seigneur Jésus.

20:20	o779				À propos de quoi Paul a-t-il dit qu'il avait mis en garde les Juifs et les Grecs depuis qu'il avait mis le pied en Asie ?	Paul a dit qu'il mettait en garde les Juifs et les Grecs contre la repentance envers Dieu et la foi dans le Seigneur Jésus.

20:23	mlnm				De quoi l'Esprit Saint a-t-il témoigné à Paul dans chaque ville, alors qu'il se dirigeait vers Jérusalem ?	L'Esprit Saint témoignait à Paul que des chaînes et des souffrances l'attendaient.

20:24	qkv9				Quel ministère Paul avait-il reçu du Seigneur Jésus ?	Le ministère de Paul consistait à témoigner de l'Évangile de la grâce de Dieu.

20:27	drae				Pourquoi Paul a-t-il dit qu'il était innocent du sang de tout homme ?	Paul a dit qu'il était innocent de leur sang parce qu'il leur avait déclaré toute la volonté de Dieu.

20:28	o9z9				Qu'est-ce que Paul a ordonné aux anciens d'Éphèse de faire soigneusement après son départ ?	Paul a ordonné aux anciens de paître le troupeau avec soin.

20:30	i1ak				Qu'est-ce que Paul a dit qu'il se passerait parmi les anciens d'Ephèse après son départ ?	Paul a dit que certains anciens disaient des choses corrompues afin d'attirer les disciples après eux.

20:32	ugtl				A qui Paul a-t-il confié les anciens d'Ephèse ?	Paul a confié les anciens d'Éphèse à Dieu.

20:34-35	ya8e				Quel exemple Paul a-t-il donné aux Éphésiens en matière de travail ?	Paul a travaillé pour ses propres besoins et ceux de ses compagnons, et a aidé les faibles.

20:38	vthv				Qu'est-ce qui a le plus attristé les anciens d'Éphèse ?	Les anciens d'Éphèse étaient surtout tristes parce que Paul avait dit qu'ils ne reverraient jamais son visage.

21:4	oixn				Qu'est-ce que les disciples de Tyr ont dit à Paul par l'Esprit ?	Les disciples ont dit à Paul, par l'Esprit, qu'il ne devait pas mettre les pieds à Jérusalem.

21:9	g2a5				Que savons-nous des enfants de Philippe le prédicateur ?	Philippe avait quatre filles vierges qui prophétisaient.

21:11	kosn				Qu'a dit le prophète Agabus à Paul ?	Agabus a dit à Paul que les Juifs de Jérusalem l'attacheraient et le livreraient aux païens.

21:13	ba8c				Qu'a dit Paul lorsque tout le monde l'a supplié de ne pas monter à Jérusalem ?	Paul a dit qu'il était prêt à être attaché et à mourir à Jérusalem pour le nom du Seigneur Jésus.

21:18	z8um				Avec qui Paul a-t-il fait connaissance à son arrivée à Jérusalem ?	Paul a rencontré Jacques et tous les anciens.

