12:10	c79o				Comment les croyants doivent-ils se traiter les uns les autres ?	Les croyants doivent être affectueux les uns envers les autres et se respecter mutuellement.

12:13	mzc3				Comment les croyants doivent-ils répondre aux besoins des saints ?	Les croyants doivent participer aux besoins des saints.

12:14	pscz				Comment les croyants doivent-ils répondre à ceux qui les persécutent ?	Les croyants doivent bénir, et non maudire, ceux qui les persécutent.

12:16	anqw				Comment les croyants doivent-ils traiter les personnes modestes ?	Les croyants doivent accepter les personnes modestes.

12:18	owv2				Dans la mesure du possible, que doivent rechercher les croyants avec tous les hommes ?	Dans la mesure du possible, les croyants doivent rechercher la paix avec tous les peuples.

12:19	xnnx				Pourquoi les croyants ne se vengeraient-ils pas ?	Les croyants ne doivent pas se venger car la vengeance appartient au Seigneur.

12:21	g7d6				Comment les croyants doivent-ils vaincre le mal ?	Les croyants doivent vaincre le mal par le bien.

13:1	xrby				D'où les autorités terrestres tirent-elles leur autorité ?	Les autorités terrestres sont nommées par Dieu, et reçoivent leur autorité de Dieu.

13:2	sx7k				Que recevront ceux qui s'opposent à l'autorité terrestre ?	Ceux qui s'opposent à l'autorité terrestre recevront un jugement sur eux-mêmes.

13:3	y0c9				Que dit Paul aux croyants pour qu'ils n'aient pas peur de l'autorité dominante ?	Paul dit aux croyants de faire ce qui est bon afin qu'ils ne craignent pas l'autorité dominante.

13:4	irf7				Quelle autorité Dieu a-t-il donnée aux dirigeants pour supprimer le mal ?	Dieu a donné aux gouvernants l'autorité de porter l'épée et de punir celui qui fait le mal.

13:6	mdws				Quelle autorité Dieu a-t-il donnée aux gouvernants en matière d'argent ?	Dieu a donné aux gouvernants le pouvoir d'exiger le paiement des impôts.

13:8	w0cl				Quelle est la seule chose que Paul dit que les croyants doivent aux autres ?	Paul dit que les croyants devraient devoir de l'amour aux autres.

13:8	tkuz				Comment un croyant accomplit-il la loi ?	Le croyant accomplit la loi en aimant son prochain.

13:9	d1f1				Quels sont les commandements que Paul énumère comme faisant partie de la loi ?	Paul énumère les commandements de ne pas commettre d'adultère, de ne pas tuer, de ne pas voler et de ne pas convoiter comme faisant partie de la loi.

13:10	o6kw				Comment un croyant accomplit-il la loi ?	Le croyant accomplit la loi en aimant son prochain.

13:12	d02c				Qu'est-ce que Paul dit que les croyants doivent mettre de côté, et revêtir ?	Paul dit que les croyants doivent mettre de côté les œuvres des ténèbres et revêtir les armures de la lumière.

13:13	zglc				Dans quelles activités les croyants ne doivent-ils pas marcher ?	Les croyants ne doivent pas se livrer à des célébrations sauvages, à l'ivrognerie, à l'immoralité sexuelle, à une convoitise incontrôlée, à des querelles ou à la jalousie.

13:14	jj48				Quelle doit être l'attitude du croyant face aux convoitises de la chair ?	Le croyant ne doit rien prévoir pour les convoitises de la chair.

14:2	qeis				Quel genre de nourriture mange une personne ayant une foi plus forte, et que mange une personne ayant une foi plus faible ?	Une personne qui est plus forte dans la foi mange n'importe quoi, mais une personne qui est plus faible dans la foi ne mange que des légumes.

14:3	bnrl				Quelle attitude doivent avoir les croyants qui diffèrent sur ce qu'ils mangent les uns envers les autres ?	Les croyants qui diffèrent sur ce qu'ils mangent ne doivent pas se mépriser ou se juger les uns les autres.

14:3-4	vy2n				Qui a reçu à la fois celui qui mange n'importe quoi et celui qui ne mange que des légumes ?	Dieu a reçu aussi bien celui qui mange n'importe quoi que celui qui ne mange que des légumes.

14:5	qv1y				Quelle autre question Paul mentionne-t-il comme étant une question de conviction personnelle ?	Paul mentionne comme une question de conviction personnelle si un jour est valorisé par rapport à un autre ou si tous les jours sont valorisés de la même manière.

14:7-8	k86y				Pour quoi les croyants vivent-ils et meurent-ils ?	Les croyants vivent et meurent pour le Seigneur.

14:10	hg2o				Où se situeront finalement tous les croyants ?	Tous les croyants se retrouveront finalement devant le tribunal de Dieu.

14:13	jj8b				Quelle attitude un frère doit-il avoir envers un autre frère sur des questions de conviction personnelle ?	Un frère ne doit pas constituer une pierre d'achoppement ou un piège pour un autre frère sur des questions de conviction personnelle.

14:14	ny9h				Paul est persuadé dans le Seigneur Jésus que quels aliments sont impurs ?	Paul est persuadé qu'aucun aliment n'est impur.

14:17	qml4				De quoi s'agit-il, le royaume de Dieu ?	Le royaume de Dieu, c'est la justice, la paix et la joie dans l'Esprit Saint.

14:21	n5jz				Selon Paul, que doit faire un frère en présence d'un autre frère qui ne mange pas de viande et ne boit pas de vin ?	Paul dit qu'il est bon que le frère ne mange pas de viande ou ne boive pas de vin en présence de l'autre frère.

14:23	de9p				Quel est le résultat si une personne n'agit pas à partir de la foi ?	Toutes les actions qui ne sont pas prises à partir de la foi sont des péchés.

15:1-2	fcej				Quelle attitude les croyants à la foi forte doivent-ils avoir envers ceux à la foi faible ?	Les croyants qui ont une foi forte doivent supporter les faiblesses de ceux qui ont une foi faible, afin de les édifier.

15:3	lf9u				Quel est l'exemple utilisé par Paul de quelqu'un qui n'a pas vécu pour se faire plaisir, mais qui a servi les autres ?	Le Christ n'a pas vécu pour se faire plaisir, mais pour servir les autres.

15:4	zng5				Quel était l'un des objectifs des Écritures écrites précédemment ?	Les écritures précédentes ont été écrites pour notre instruction.

15:5	vxth				Qu'est-ce que Paul souhaite pour les croyants à travers leur exercice de la patience et de l'encouragement les uns envers les autres ?	Paul désire que les croyants aient le même esprit les uns envers les autres.

15:8-9	yvbx				Quel est l'exemple utilisé par Paul de quelqu'un qui n'a pas vécu pour se faire plaisir, mais qui a servi les autres ?	Le Christ n'a pas vécu pour se faire plaisir, mais pour servir les autres.

15:10-11	vm8x				Selon les Écritures, que feront les païens en raison de la miséricorde de Dieu à leur égard ?	Les Écritures disent que les païens se réjouiront et loueront le Seigneur.

15:13	xh71				Qu'est-ce que Paul dit que les croyants seront capables de faire par la puissance du Saint-Esprit ?	Les croyants seront remplis de joie et de paix, et ils abonderont en assurance.

15:16	ixwn				Quel don Dieu a-t-il fait à Paul, qui est la mission de Paul ?	La mission de Paul est d'être un serviteur du Christ Jésus envoyé aux païens.

15:18-19	zfi6				Par quels moyens le Christ a-t-il travaillé par l'intermédiaire de Paul pour obtenir l'obéissance des païens ?	Le Christ a agi à travers Paul par la parole et l'action, par la puissance des signes et des prodiges, et par la puissance de l'Esprit Saint.

15:20-21	x6qt				Où Paul désire-t-il proclamer l'Évangile ?	Paul désire proclamer l'Évangile là où le Christ n'est pas connu de nom.

15:24	j228				Où Paul prévoit-il un voyage qui lui permettra également de venir à Rome ?	Paul prévoit de se rendre en Espagne, ce qui lui permettra également de venir à Rome.

15:25	ddu2				Pourquoi Paul se rend-il maintenant à Jérusalem ?	Paul se rend maintenant à Jérusalem pour servir les croyants de cette ville.

15:27	et47				Pourquoi Paul dit-il que les croyants païens doivent des choses matérielles aux croyants juifs ?	Les croyants païens doivent aux croyants juifs des choses matérielles parce que les croyants païens ont participé aux choses spirituelles des croyants juifs.

15:31	cpd5				De qui Paul souhaite-t-il être délivré ?	Paul souhaite être délivré de ceux qui sont désobéissants en Judée.

16:1-2	rsvb				Qu'est devenue la sœur Phoebe pour Paul ?	Sœur Phoebe est devenue une aide pour Paul, et pour beaucoup d'autres.

16:4	n5ot				Qu'est-ce que Prisca et Aquila ont fait pour Paul dans le passé ?	Prisca et Aquila ont déjà risqué leur vie pour Paul par le passé.

16:5	tcol				Quel est l'un des endroits où les croyants se réunissent à Rome ?	Les croyants de Rome se réunissent dans la maison de Prisca et Aquila.

16:7	n2mh				Quelle expérience Andronicus et Junias ont-ils partagé avec Paul dans le passé ?	Andronicus et Junias ont été codétenus avec Paul dans le passé.

16:16	b9cm				Comment les croyants se saluent-ils ?	Les croyants se saluent par un baiser sacré.

16:17	vhi8				Que dit Paul aux croyants de faire avec ceux qui causent des divisions et des trébuchements ?	Paul dit aux croyants de se détourner de ceux qui provoquent des divisions et des trébuchements.

16:17-18	wc3g				Que font certains, qui provoquent des divisions et des trébuchements ?	Certains vont au-delà de l'enseignement qu'ils ont appris, trompant le cœur des innocents.

16:19	zpcj				Quelle attitude Paul veut-il que les croyants aient à l'égard du bien et du mal ?	Paul veut que les croyants soient avisés de ce qui est bon, et innocents de ce qui est mauvais.

16:20	m8ao				Que fera bientôt le Dieu de la paix ?	Le Dieu de la paix écrasera bientôt Satan sous les pieds des croyants.

16:22	r2s9				Qui a réellement écrit cette épître ?	Tertius a effectivement écrit cette épître.

16:23	fcfz				Quelle profession exerce le croyant Erastus ?	Erastus est le trésorier de la ville.

16:25-26	qjzq				Quelle révélation qui avait été gardée secrète depuis longtemps est maintenant prêchée par Paul ?	Paul prêche maintenant la révélation de l'évangile de Jésus-Christ.

16:26	d7on				Dans quel but Paul prêche-t-il ?	Paul prêche pour l'obéissance de la foi parmi tous les païens.
